xianjin,gold,bitcoin,asset
1,0,0,1000
1,0,0,1000
1,0,0,1000
1,0,0,1000
1,0,0,1000
1,0,0,1000
1,0,0,1000
1,0,0,1000
1,0,0,1000
0,0,1,980
0,0,1,916.9768044
0,0,1,913.6626076
0,0,1,941.8600085
0,0,1,951.4952341
0,0,1,948.7690399
0,0,1,947.4460338
0,0,1,963.4290156
0,0,1,964.1907463
0,0,1,956.1057096
0,0,1,940.4167292
0,0,1,938.5057205
0,0,1,944.0917459
0,0,1,950.0385911
0,0,1,951.1344142
0,0,1,984.851022
0,0,1,998.9630862
0,0,1,1000.914186
0,0,1,974.2937013
0,0,1,986.9491225
0,0,1,984.8643857
0,0,1,991.0918686
0,0,1,985.5058432
0,0,1,983.087014
0,0,1,980.4543657
0,0,1,972.8236946
0,0,1,971.9550543
0,0,1,979.1714508
0,0,1,992.5084205
0,0,1,991.6531439
0,0,1,1032.252056
0,0,1,1021.427461
0,0,1,1019.609998
0,0,1,1008.464675
0,0,1,1011.124051
0,0,1,1014.291247
0,0,1,1028.630494
0,0,1,1029.031405
0,0,1,1027.775217
0,0,1,1038.359265
0,0,1,1038.359265
0,0,1,1039.682271
0,0,1,1035.539525
0,0,1,1038.025173
0,0,1,1036.862531
0,0,1,1053.994791
0,0,1,1053.59388
0,0,1,1053.9547
0,0,1,1059.861454
0,0,1,1101.449279
0,0,1,1115.828617
0,0,1,1204.483384
0,0,1,1191.520598
0,0,1,1192.843604
0,0,1,1199.164633
0,0,1,1243.318288
0,0,1,1243.278197
0,0,1,1287.431852
0,0,1,1272.42442
0,0,1,1280.402547
0,0,1,1333.322788
0,0,1,1357.711535
0,0,1,1354.303792
0,0,1,1505.767935
0,0,1,1329.24686
0,0,1,1335.901981
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
1,0,0,1174.526519
0,0,1,1151.035988
0,0,1,1150.522409
0,0,1,1147.569248
0,0,1,1144.070332
0,0,1,1201.774238
0,0,1,1215.30702
0,0,1,1194.101434
0,0,1,1262.221531
0,0,1,1252.80015
0,0,1,1253.298455
0,0,1,1316.237305
0,0,1,1305.949792
0,0,1,1309.134271
0,0,1,1335.354853
0,0,1,1356.221043
0,0,1,1347.8987
0,0,1,1304.704681
0,0,1,1310.494295
0,0,1,1294.019903
0,0,1,1312.337824
0,0,1,1333.021911
0,0,1,1301.328313
0,0,1,1346.616232
0,0,1,1372.882547
0,0,1,1367.291972
0,0,1,1394.581008
0,0,1,1390.906777
0,0,1,1371.946799
0,0,1,1414.597278
0,0,1,1447.43005
0,0,1,1424.111824
